URI,Label,Scopenote
http://collection.britishmuseum.org/id/thesauri/x41158,Bow,
http://collection.britishmuseum.org/id/thesauri/x17175,Brazilian,
http://collection.britishmuseum.org/id/thesauri/x17177,British,
http://collection.britishmuseum.org/id/thesauri/x117076,British Museum B117 group,
http://collection.britishmuseum.org/id/thesauri/x25550,Bronze Type,
http://collection.britishmuseum.org/id/thesauri/x18614,Buddhist School,
http://collection.britishmuseum.org/id/thesauri/x23006,Bukhara School,This school flourished under the Shaybanid Dynasty.
http://collection.britishmuseum.org/id/thesauri/x17178,Bulgarian,
http://collection.britishmuseum.org/id/thesauri/x25018,Bundi Style,"This term refers to painting from the court of Bundi from the late sixteenth century to the early nineteenth century. Bundi was one of the earliest courts to accept Mughal rule when in 1569 the fort of Ranthambhor fell to the Mughal force. The earliest paintings from Bundi date to this period – namely the Chunar Ragamala, now dispersed."
http://collection.britishmuseum.org/id/thesauri/x18617,Bunjinga School,
http://collection.britishmuseum.org/id/thesauri/x23007,Byzantine Type,
http://collection.britishmuseum.org/id/thesauri/x23009,Calukya Style,
http://collection.britishmuseum.org/id/thesauri/x117082,Cambridge group,
http://collection.britishmuseum.org/id/thesauri/x72318,Canada,
http://collection.britishmuseum.org/id/thesauri/x17179,Canadian,
http://collection.britishmuseum.org/id/thesauri/x23011,Catanian Type,
http://collection.britishmuseum.org/id/thesauri/x105065,Centre Artisanal Du Femmes,
http://collection.britishmuseum.org/id/thesauri/x23013,Cera Style,
http://collection.britishmuseum.org/id/thesauri/x116591,Chalice style,The term refers to an Archaic Chian pottery styles after Lemos 1991.
http://collection.britishmuseum.org/id/thesauri/x115798,Chamba Style,This term refers to paintings created at the small court of Chamba in the Punjab Hills between the 17th and 19th centuries.
http://collection.britishmuseum.org/id/thesauri/x41164,Chertsey,
http://collection.britishmuseum.org/id/thesauri/x41018,Cheshire,
http://collection.britishmuseum.org/id/thesauri/x25021,Chieng Mai Style,
http://collection.britishmuseum.org/id/thesauri/x17181,Chilean,
http://collection.britishmuseum.org/id/thesauri/x17182,Chinese,
http://collection.britishmuseum.org/id/thesauri/x117315,Chinese Export Painting,
http://collection.britishmuseum.org/id/thesauri/x20418,Chinese style,
http://collection.britishmuseum.org/id/thesauri/x41019,Clarendon,
http://collection.britishmuseum.org/id/thesauri/x95680,Classical style,
http://collection.britishmuseum.org/id/thesauri/x110480,Classicist,
http://collection.britishmuseum.org/id/thesauri/x105946,Company School,"This term refers to a wide range of drawings and paintings created by South Asian artists that were commissioned by European patrons, or intended for a European market. The subject matter is frequently descriptive of the ‘Indian Scene’ and prepared in sets or albums. Works can be attributed to a variety of sub-styles dependent on the artists’ regional training. The works often incorporate stylistic traits from both the South Asian and European traditions prevalent and popular in the region in the 18th and 19th centuries."
http://collection.britishmuseum.org/id/thesauri/x72340,Coronation Gulf,
http://collection.britishmuseum.org/id/thesauri/x17183,Costa Rican,
http://collection.britishmuseum.org/id/thesauri/x17184,Cremonese,
http://collection.britishmuseum.org/id/thesauri/x17185,Croatian,
http://collection.britishmuseum.org/id/thesauri/x17187,Cuban,
http://collection.britishmuseum.org/id/thesauri/x17188,Czech,For artists working after 1992; otherwise use CZECHOSLOVAKIAN.
http://collection.britishmuseum.org/id/thesauri/x17189,Czechoslovakian,For artists working between 1919 and 1992.
http://collection.britishmuseum.org/id/thesauri/x23027,Damascus Style,
http://collection.britishmuseum.org/id/thesauri/x23028,Damascus Type,
http://collection.britishmuseum.org/id/thesauri/x17190,Danish,
http://collection.britishmuseum.org/id/thesauri/x23031,Deccani School,"The term refers to paintings from Golconda, Bijapur, Ahmadnagar, Berar and Bidar, from the 16thC to the 18thC. The term 'Deccani School' should be entered in addition to any Narrower Terms where available."
http://collection.britishmuseum.org/id/thesauri/x23033,Delhi Style,
http://collection.britishmuseum.org/id/thesauri/x25028,Devgarh Style,"This term refers to painting at the Mewari sub court between c. 1766–1850. The Devgarh style is an offshoot of the Udaipur court style and consists predominantly of portraits of the rulers (Rawats), genre scenes, and illustrations of the life of Krishna."
http://collection.britishmuseum.org/id/thesauri/x117072,Diagonally Decorated group,
http://collection.britishmuseum.org/id/thesauri/x25597,Ding Type,
http://collection.britishmuseum.org/id/thesauri/x23036,Dingzhou Style,
http://collection.britishmuseum.org/id/thesauri/x25551,Dongqi Type,
http://collection.britishmuseum.org/id/thesauri/x17191,Dutch,For artists working after 1579.
http://collection.britishmuseum.org/id/thesauri/x104040,Early Celtic Art,This applies to For Iron age objects which are decorated with La Tene motifs.
http://collection.britishmuseum.org/id/thesauri/x106602,Early Rajput Style,"This term was coined by Robert Skelton (in his unpublished lecture at SOAS, London, in 1974) and is now fairly widely accepted as a valid descriptive term for painting emerging from Delhi, Uttar Pradesh, Malwa, Gujarat and the Rajasthani courts in the fifteenth and sixteenth centuries."
http://collection.britishmuseum.org/id/thesauri/x72351,Effon-Alaiye,
http://collection.britishmuseum.org/id/thesauri/x118498,Egyptian,
http://collection.britishmuseum.org/id/thesauri/x56905,Egyptian style,
http://collection.britishmuseum.org/id/thesauri/x104875,Eiland,
http://collection.britishmuseum.org/id/thesauri/x17193,Emilian,
http://collection.britishmuseum.org/id/thesauri/x116600,Enman class,The term refers to an Archaic Clazomenian pottery styles after Cook 1952.
http://collection.britishmuseum.org/id/thesauri/x117322,Enmann class,
http://collection.britishmuseum.org/id/thesauri/x23045,Ephesus Type,
http://collection.britishmuseum.org/id/thesauri/x41172,Etruria,
http://collection.britishmuseum.org/id/thesauri/x25553,Euphrates Type,
http://collection.britishmuseum.org/id/thesauri/x118491,European,
http://collection.britishmuseum.org/id/thesauri/x23046,European Style,
http://collection.britishmuseum.org/id/thesauri/x41173,Faenza,
http://collection.britishmuseum.org/id/thesauri/x17194,Ferrarese,
http://collection.britishmuseum.org/id/thesauri/x17195,Finnish,
http://collection.britishmuseum.org/id/thesauri/x17196,Flemish,For artists working between 1579 and 1830.
http://collection.britishmuseum.org/id/thesauri/x41175,Florence,
http://collection.britishmuseum.org/id/thesauri/x17197,Florentine,
http://collection.britishmuseum.org/id/thesauri/x23057,Folk Style,
http://collection.britishmuseum.org/id/thesauri/x41176,Fordington,
http://collection.britishmuseum.org/id/thesauri/x41177,France,
http://collection.britishmuseum.org/id/thesauri/x17198,French,
http://collection.britishmuseum.org/id/thesauri/x86259,Futuna Style,
http://collection.britishmuseum.org/id/thesauri/x23061,Gandhara School,
http://collection.britishmuseum.org/id/thesauri/x25032,Garhwal Style,This term refers to paintings created at the small court of Garhwal in the Punjab Hills between the 17th and 19th centuries.
http://collection.britishmuseum.org/id/thesauri/x72361,Gbongan,
http://collection.britishmuseum.org/id/thesauri/x17199,Genoese,
http://collection.britishmuseum.org/id/thesauri/x17200,German,See also under AUSTRIAN.
http://collection.britishmuseum.org/id/thesauri/x23066,Ghaznavid Style,
http://collection.britishmuseum.org/id/thesauri/x23069,Golconda Style,
http://collection.britishmuseum.org/id/thesauri/x56907,Gothic Revival,
http://collection.britishmuseum.org/id/thesauri/x18796,Goto School,
http://collection.britishmuseum.org/id/thesauri/x116589,Grand style,The term refers to an Archaic Chian pottery styles after Lemos 1991.
http://collection.britishmuseum.org/id/thesauri/x17201,Greek,
http://collection.britishmuseum.org/id/thesauri/x25554,Greek Type,
http://collection.britishmuseum.org/id/thesauri/x95681,Greek style,
http://collection.britishmuseum.org/id/thesauri/x23074,Guan Style,
http://collection.britishmuseum.org/id/thesauri/x25035,Guler Style,"This term refers to paintings from the court of Guler in the Punjab Hills. Paintings in this style tend to include elegant and undulating lines, prominent outlines, naturalistic landscape, and a soft colour palette."
http://collection.britishmuseum.org/id/thesauri/x23079,Gupta Style,
http://collection.britishmuseum.org/id/thesauri/x23081,Gurjara-Pratihara Style,
http://collection.britishmuseum.org/id/thesauri/x23082,Guyue xuan Style,
http://collection.britishmuseum.org/id/thesauri/x72370,Ha'apai Group,
http://collection.britishmuseum.org/id/thesauri/x20320,Hanabusa School,
http://collection.britishmuseum.org/id/thesauri/x25555,Hebei Type,
http://collection.britishmuseum.org/id/thesauri/x23085,Hellenistic Style,
http://collection.britishmuseum.org/id/thesauri/x25556,Hellenistic Type,
http://collection.britishmuseum.org/id/thesauri/x25557,Henan Type,
http://collection.britishmuseum.org/id/thesauri/x23086,Herat School,
http://collection.britishmuseum.org/id/thesauri/x23090,Hispano-Moresque style,
http://collection.britishmuseum.org/id/thesauri/x17203,Hungarian,
http://collection.britishmuseum.org/id/thesauri/x17204,Icelandic,
http://collection.britishmuseum.org/id/thesauri/x116877,Ichimonji School,
http://collection.britishmuseum.org/id/thesauri/x72385,Ilobu,
http://collection.britishmuseum.org/id/thesauri/x108304,Inca,
http://collection.britishmuseum.org/id/thesauri/x23099,Indo-Ionian Type,
http://collection.britishmuseum.org/id/thesauri/x23100,Indo-Parthian Type,
http://collection.britishmuseum.org/id/thesauri/x23103,Indo-Scythian Type,
http://collection.britishmuseum.org/id/thesauri/x23104,Indo-Tibetan Type,
http://collection.britishmuseum.org/id/thesauri/x105235,Inju School,School of painting in Shiraz from 1330s to 1350s.
http://collection.britishmuseum.org/id/thesauri/x45812,Intha,
http://collection.britishmuseum.org/id/thesauri/x25420,Intha people Style,
http://collection.britishmuseum.org/id/thesauri/x17206,Iranian,
http://collection.britishmuseum.org/id/thesauri/x17207,Irish,For artists working after 1921.
http://collection.britishmuseum.org/id/thesauri/x46456,Isfahan School,
http://collection.britishmuseum.org/id/thesauri/x23109,Isfahan Style,"The term refers to either paintings from provincial centres in the style of the Isfahan School, or to copies or fakes of the Isfahan School."
http://collection.britishmuseum.org/id/thesauri/x107590,Islamic Painting School,"The term covers Arab, Turkish, Persian and Islamic Indian painting from 1200 to circa 1925."
http://collection.britishmuseum.org/id/thesauri/x95693,Islamic style,
http://collection.britishmuseum.org/id/thesauri/x17208,Israeli,
http://collection.britishmuseum.org/id/thesauri/x17209,Italian,
http://collection.britishmuseum.org/id/thesauri/x41191,Italy,
http://collection.britishmuseum.org/id/thesauri/x103442,Iznik,
http://collection.britishmuseum.org/id/thesauri/x23112,Iznik Style,
http://collection.britishmuseum.org/id/thesauri/x23115,Jaipur Style,"This term refers to painting from the court of Jaipur in the eighteenth and early nineteenth century. The Kachhwaha clan of Jaipur were initially established at the nearby court of Amber, while Jaipur, a purpose-built city, was founded in 1728 by Raja Sawai Jai Singh II. The term can also be applied to earlier paintings from Amber, however the date should indicate if the work was painted before or after the move to Jaipur."
http://collection.britishmuseum.org/id/thesauri/x17210,Jamaican,
http://collection.britishmuseum.org/id/thesauri/x25045,Jammu Style,"This term refers to paintings created at the small court of Jammu in the Punjab Hills. The early works associated with Jammu are characterised by bold colour schemes, monochromatic backgrounds and exaggerated facial features. This vigorous bright style was retained until the early 18th century; later works include a more naturalistic landscape, and a softer colour palette."
http://collection.britishmuseum.org/id/thesauri/x72391,Japan,
http://collection.britishmuseum.org/id/thesauri/x17211,Japanese,
http://collection.britishmuseum.org/id/thesauri/x56908,Japanese style,"The term is restricted to three-dimensional objects, mainly in P&E. See Japanese and its Narrow Terms for two-dimensional objects."
http://collection.britishmuseum.org/id/thesauri/x95682,Jellinge style,
http://collection.britishmuseum.org/id/thesauri/x23120,Jian Type,
http://collection.britishmuseum.org/id/thesauri/x41679,Jizhou Type,
http://collection.britishmuseum.org/id/thesauri/x25048,Jodhpur Style,"This term refers to paintings from the court of Jodhpur, capital of Marwar in the central desert region of Rajasthan. The earliest known painted works from Marwar is a Ragamala Series dated 1623. Stylistic traits often associated with Jodhpur include the sharply flaring skirt of the jama and thick mutton chop side-whiskers."
http://collection.britishmuseum.org/id/thesauri/x72394,Kabylie,
http://collection.britishmuseum.org/id/thesauri/x101043,Kakiemon Style,"The term refers to porcelain of European manufacture, decorated to imitate Japanese Kakiemon porcelain (which was produced from the mid-17thC onwards). See also Kakiemon Ware in Ware."
http://collection.britishmuseum.org/id/thesauri/x105189,Kalighat Style,The term refers to a style of painting associated with the famous Kali temple in Calcutta known as the Kalighat temple. Sacred souvenirs in the form of paintings were produced here from the 1850s until the early decades of the 20th century.
http://collection.britishmuseum.org/id/thesauri/x116095,Kamasan School,
http://collection.britishmuseum.org/id/thesauri/x23132,Kangra Style,"This term refers to paintings from Kangra. Little exists before the mid-18th century, however this relatively late flowering, created some astounding examples. The large state of Kangra extended from Nurpur and Chamba along its northern borders to Mandi in the east and the Punjab plains towards the south-west."
http://collection.britishmuseum.org/id/thesauri/x23133,Kangxi Style,
http://collection.britishmuseum.org/id/thesauri/x18869,Kano School,
http://collection.britishmuseum.org/id/thesauri/x23136,Kashan Style,
http://collection.britishmuseum.org/id/thesauri/x23137,Kashmir School,
http://collection.britishmuseum.org/id/thesauri/x23140,Kediri Style,
http://collection.britishmuseum.org/id/thesauri/x41195,Kent,
http://collection.britishmuseum.org/id/thesauri/x45795,Kentung,
http://collection.britishmuseum.org/id/thesauri/x23141,Kerala Style,
http://collection.britishmuseum.org/id/thesauri/x41196,Keswick,
http://collection.britishmuseum.org/id/thesauri/x25056,Khleang Style,
http://collection.britishmuseum.org/id/thesauri/x23144,Khmer Style,The term refers to an artistic style associated with the medieval inhabitants of Cambodia; also represented in adjacent parts of Thailand. The Material Culture or Period term 'Khmer' should also be entered.
http://collection.britishmuseum.org/id/thesauri/x23145,Khurasan Style,The term refers to a painting style produced in the late 16thC produced in North-eastern Iran.
http://collection.britishmuseum.org/id/thesauri/x109326,Khurasan Type,The term is restricted to three-dimensional objects.
http://collection.britishmuseum.org/id/thesauri/x72399,King Island,
http://collection.britishmuseum.org/id/thesauri/x25058,Kishangarh Style,"This term refers to paintings from the court of Kishangarh from the seventeenth to the late eighteenth century. The rulers of Kishangarh were devotees of Lord Vishnu and his worship was a defining influence on the arts – images of the love dalliance between Krishna and Radha were often produced. Patronage of painting probably began under Man Singh (r. 1658-1706) in the Mughal style of Aurangzeb and elongated figures, with a slight arching of back, and oversized eyes became the norm."
http://collection.britishmuseum.org/id/thesauri/x18774,Kishi School,
http://collection.britishmuseum.org/id/thesauri/x116599,Knipovitch group,The term refers to an Archaic Clazomenian pottery styles after Cook 1952.
http://collection.britishmuseum.org/id/thesauri/x116594,Komast group,The term refers to an Archaic Chian pottery styles after Lemos 1991.
http://collection.britishmuseum.org/id/thesauri/x82924,Kona,
http://collection.britishmuseum.org/id/thesauri/x95379,Kongu,
http://collection.britishmuseum.org/id/thesauri/x23149,Kongunadu Style,
http://collection.britishmuseum.org/id/thesauri/x18896,Korean Style,
http://collection.britishmuseum.org/id/thesauri/x25059,Kota Style,"This term refers to painting from the small court of Kota from the seventeenth century to the nineteenth century. The Mughals established Kota as an independent state from Bundi to be ruled by a branch of the family in 1631 and stylistically, the early art of Kota followed the Bundi model and concentrated on Ragamala and Baramasa painting. As it flourished in the eighteenth century there was a marked increase in the production of hunting scenes – tigers prowling dense jungles of tightly composed foliage, with hunters interspersed between the trees. The figures have a ruddier complexion in comparison to Bundi painting, with sculpturally modelled features."
http://collection.britishmuseum.org/id/thesauri/x25061,Kubacha Type,
http://collection.britishmuseum.org/id/thesauri/x25421,Kulu Style,
http://collection.britishmuseum.org/id/thesauri/x45815,Kyaukka,
http://collection.britishmuseum.org/id/thesauri/x23158,Lahore School,
http://collection.britishmuseum.org/id/thesauri/x116053,Late Ava period,
http://collection.britishmuseum.org/id/thesauri/x104876,Letaba,
http://collection.britishmuseum.org/id/thesauri/x72404,Leti,
http://collection.britishmuseum.org/id/thesauri/x41201,Limoges,
http://collection.britishmuseum.org/id/thesauri/x117073,Lion group,
http://collection.britishmuseum.org/id/thesauri/x23163,Liyu Style,
http://collection.britishmuseum.org/id/thesauri/x17212,Lombard,
http://collection.britishmuseum.org/id/thesauri/x23168,Longshan Type,
http://collection.britishmuseum.org/id/thesauri/x103917,Lopburi,
http://collection.britishmuseum.org/id/thesauri/x23169,Lopburi Type,
http://collection.britishmuseum.org/id/thesauri/x117074,Louvre group,
http://collection.britishmuseum.org/id/thesauri/x23170,Lucknow Style,
http://collection.britishmuseum.org/id/thesauri/x72700,Machacamarca,
http://collection.britishmuseum.org/id/thesauri/x72409,Machacmarca,
http://collection.britishmuseum.org/id/thesauri/x25558,Machang Type,
http://collection.britishmuseum.org/id/thesauri/x72410,Machucmarca,
http://collection.britishmuseum.org/id/thesauri/x25071,Madhubani Style,
http://collection.britishmuseum.org/id/thesauri/x72414,Mali,
http://collection.britishmuseum.org/id/thesauri/x72800,Malmalkot Style,A style of sundress from Malmalkot in Vanuatu
http://collection.britishmuseum.org/id/thesauri/x17213,Maltese,
http://collection.britishmuseum.org/id/thesauri/x41039,Malvern,
http://collection.britishmuseum.org/id/thesauri/x23174,Malwa Style,This term refers to works from central India dating to the late 16th and early 17th century.
http://collection.britishmuseum.org/id/thesauri/x23176,Mamluk Style,
http://collection.britishmuseum.org/id/thesauri/x95683,Mammen style,
http://collection.britishmuseum.org/id/thesauri/x23177,Mandalay Style,"Term used for a style of sculpture first produced under the kings of Burma who ruled from Mandalay (c.1850-1885). This style is remains popular today especially for Buddha images. These Buddha figures are characterised by a wide headband between the hair and forehead, a rounded usnisha, and an ornately pleated and folded robe. The inclusion of coloured and mirrored glass is also a distinctive feature."
http://collection.britishmuseum.org/id/thesauri/x115813,Mandi Style,This term refers to painting from the small court of Mandi in the Punjab Hills.
http://collection.britishmuseum.org/id/thesauri/x115787,Mankot Style,"Small court of the Pahari Hills. The ruling family of Mankot were closely associated with Jammu (claiming descent from a Jammu raja and belonging to the Jammu Riasi family) yet they remained independent. The painting style associated with the court flourished in the 18th century. Episodes from the life of Krishna, as told through the 10th book of the Bhagavata Purana, were often illustrated."
http://collection.britishmuseum.org/id/thesauri/x17214,Mantuan,
http://collection.britishmuseum.org/id/thesauri/x101688,Manu Tivaevae Style,
http://collection.britishmuseum.org/id/thesauri/x17215,Marchigian,From the Marches
http://collection.britishmuseum.org/id/thesauri/x23179,Marco Polo Type,
http://collection.britishmuseum.org/id/thesauri/x18937,Maruyama-Shijo School,"The term refers to the modern name given to the combined schools of painters Maruyama Okyo and Go Shun, which began in Kyoto in the late 18th century and spread to Osaka and Edo."
http://collection.britishmuseum.org/id/thesauri/x23182,Mashhad Style,
http://collection.britishmuseum.org/id/thesauri/x104874,Matola,
http://collection.britishmuseum.org/id/thesauri/x41205,Meissen,
http://collection.britishmuseum.org/id/thesauri/x23184,Meissen Style,
http://collection.britishmuseum.org/id/thesauri/x25077,Mewar Style,"This is a broad term that that encompasses the courtly style of Udaipur, as well as the sub court styles of Devgarh, Nathdwara, etc. This term should be used when the painting is the work of an Udaipur-trained artist, yet the patron is unknown."
http://collection.britishmuseum.org/id/thesauri/x17216,Mexican,
http://collection.britishmuseum.org/id/thesauri/x72424,Mexico,
http://collection.britishmuseum.org/id/thesauri/x117837,Middle East and North Africa Modern Art,"The term covers all objects dated from the 20thC onwards, made in the Middle East and North Africa or by artists originating from that region. North Africa includes Algeria, Morocco, Libya and Tunisia."
http://collection.britishmuseum.org/id/thesauri/x17217,Milanese,
http://collection.britishmuseum.org/id/thesauri/x25559,Ming Type,
http://collection.britishmuseum.org/id/thesauri/x96095,Minyao,Type of Chinese ceramics.
http://collection.britishmuseum.org/id/thesauri/x107487,Mixteca-Puebla Style,Style found in Mexico.
http://collection.britishmuseum.org/id/thesauri/x17218,Modena,
http://collection.britishmuseum.org/id/thesauri/x110471,Modernism,
http://collection.britishmuseum.org/id/thesauri/x72901,Monte Alban,
http://collection.britishmuseum.org/id/thesauri/x72899,Monte Alban III,
http://collection.britishmuseum.org/id/thesauri/x72900,Monte Alban IV,
http://collection.britishmuseum.org/id/thesauri/x41562,Moroccan,
http://collection.britishmuseum.org/id/thesauri/x41575,Mosan,"This refers to a style of enamelling developed in centres in the Meuse Valley, but later adopted in workshops in the Middle Rhine, Champagne region, Ile de France and even England."
http://collection.britishmuseum.org/id/thesauri/x72865,Mount Hagen,"Mount Hagen Style from the Mount Hagen region, Papua New Guinea"
http://collection.britishmuseum.org/id/thesauri/x23193,Mughal Style,"The term refers to the Mughal style of painting, 1555-1800."
http://collection.britishmuseum.org/id/thesauri/x25080,Murshidabad Style,
http://collection.britishmuseum.org/id/thesauri/x18978,Nagasaki School,
http://collection.britishmuseum.org/id/thesauri/x116615,Nathdvara Style,"Painting from the pilgrimage site of Nathdvara revolved around the temple of Srinathji. Artists from as far away as Mewar, Kota, Ajmer and Delhi migrated to the centre in the eighteenth century to create images for travelling pilgrims and visiting nobles."
http://collection.britishmuseum.org/id/thesauri/x23199,Nayak Style,
http://collection.britishmuseum.org/id/thesauri/x17219,Neapolitan,
http://collection.britishmuseum.org/id/thesauri/x25560,Near Eastern Type,
http://collection.britishmuseum.org/id/thesauri/x110433,Neo-Classicist,
http://collection.britishmuseum.org/id/thesauri/x25082,Neo-Tantric Style,The term refers to the work of a group of Indian painters of the post independence period who drew inspiration from the texts known as Tantras. Much of their work uses abstract and/or sexual imagery.
http://collection.britishmuseum.org/id/thesauri/x25561,Neolithic Type,
http://collection.britishmuseum.org/id/thesauri/x25563,Nestorian Type,
http://collection.britishmuseum.org/id/thesauri/x17220,Netherlandish,For artists working up to 1579.
http://collection.britishmuseum.org/id/thesauri/x72445,Netherlands,
http://collection.britishmuseum.org/id/thesauri/x117075,New York group,
http://collection.britishmuseum.org/id/thesauri/x17221,New Zealand,
http://collection.britishmuseum.org/id/thesauri/x101662,Newar,
http://collection.britishmuseum.org/id/thesauri/x107488,Nicoya Style,The term refers to a Central American style alluding to provenance from the Nicoya Peninsula.
http://collection.britishmuseum.org/id/thesauri/x72448,Niger,
http://collection.britishmuseum.org/id/thesauri/x18989,Nihonga School,"The term refers to a Japanese school of painting with traditional themes, style and technique since the late nineteenth century."
http://collection.britishmuseum.org/id/thesauri/x25564,Nishapur Type,
http://collection.britishmuseum.org/id/thesauri/x72450,Niuafo'ou,
http://collection.britishmuseum.org/id/thesauri/x23204,Nolamba Style,
http://collection.britishmuseum.org/id/thesauri/x17222,North Italian,
http://collection.britishmuseum.org/id/thesauri/x23206,North Syrian Style,
http://collection.britishmuseum.org/id/thesauri/x25565,Northern Wei Type,
http://collection.britishmuseum.org/id/thesauri/x23208,Northwest Iran,
http://collection.britishmuseum.org/id/thesauri/x25083,Northwestern Type,
http://collection.britishmuseum.org/id/thesauri/x17223,Norwegian,
http://collection.britishmuseum.org/id/thesauri/x41042,Nottingham,
http://collection.britishmuseum.org/id/thesauri/x86254,Noumea Style,
http://collection.britishmuseum.org/id/thesauri/x23209,Ordos Type,
http://collection.britishmuseum.org/id/thesauri/x95684,Oriental style,The term and its Narrow Terms are restricted to three-dimensional objects.
http://collection.britishmuseum.org/id/thesauri/x102576,Osaka School,
http://collection.britishmuseum.org/id/thesauri/x109313,Ottoman School,The term refers to paintings produced in the Ottoman Empire from the 16thC to the late 19thC.
http://collection.britishmuseum.org/id/thesauri/x23210,Ottoman Style,
http://collection.britishmuseum.org/id/thesauri/x72460,Owo,
http://collection.britishmuseum.org/id/thesauri/x17224,Paduan,
